indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-04-02,3898.497,3897.005,3882.885,3937.018,3886.918,11124266600,159356080037.9,-11.579,-0.00297
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-04-03,3886.918,3850.154,3839.933,3878.15,3862.479,9513736900,132049936105.2,-24.439,-0.006288
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-04-04,3862.479,3873.626,3852.495,3898.612,3854.862,8873060900,131593067937.6,-7.617,-0.001972
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-04-09,3854.862,3851.954,3827.413,3870.673,3852.929,8410546200,118167273509.4,-1.933,-0.000501
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-04-10,3852.929,3860.722,3851.795,3927.424,3927.172,10617372200,137941300225.0,74.243,0.019269
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-04-11,3927.172,3934.169,3924.96,3958.707,3938.343,11193302100,139989290629.6,11.171,0.002845
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-04-12,3938.343,3935.673,3896.178,3937.783,3898.635,8269949000,108075565475.5,-39.708,-0.010082
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-04-13,3898.635,3920.737,3866.186,3929.952,3871.144,7154420300,98921826969.3,-27.491,-0.007051
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-04-16,3871.144,3862.473,3789.612,3869.156,3808.863,9921777000,131566866867.8,-62.281,-0.016089
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-04-17,3808.863,3812.874,3745.444,3822.626,3748.641,9061079000,126518751971.7,-60.222,-0.015811
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-04-18,3748.641,3785.3059,3708.1068,3789.6591,3766.282,10667670600,143077676004.0,17.641,0.004706
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-04-19,3766.282,3774.784,3767.797,3824.032,3811.843,9905406000,127520121561.7,45.561,0.012097
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-04-20,3811.843,3801.207,3750.103,3815.444,3760.854,9928292500,123550664540.8,-50.989,-0.013376
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-04-23,3760.854,3754.689,3735.184,3787.395,3766.325,9035629100,111763031499.6,5.471,0.001455
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-04-24,3766.325,3769.878,3769.878,3854.429,3843.488,11421952500,145700512791.1,77.163,0.020488
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-04-25,3843.488,3824.592,3817.032,3838.692,3828.701,7817261200,105750449451.6,-14.787,-0.003847
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-04-26,3828.701,3823.392,3744.885,3828.712,3755.494,8715064100,125772304515.2,-73.207,-0.019121
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-04-27,3755.494,3771.036,3714.644,3776.975,3756.876,8953172600,142113627600.2,1.382,0.000368
