date,open,high,low,close,volume,turnover,open_adj,high_adj,low_adj,close_adj,volume_adj
2015-07-14,4178.63,4258.513,4062.5,4112.149,45442200900,597521262486.0,4178.63,4258.513,4062.5,4112.149,45442200900
2015-07-15,4068.88,4114.243,3899.508,3966.759,42195636700,514064532339.0,4068.88,4114.243,3899.508,3966.759,42195636700
2015-07-16,3949.639,4067.022,3856.321,3997.356,33053134500,410050894560.0,3949.639,4067.022,3856.321,3997.356,33053134500
2015-07-17,4023.757,4190.186,4000.231,4151.496,33110713100,435597103716.0,4023.757,4190.186,4000.231,4151.496,33110713100
2015-07-20,4157.06,4221.693,4106.389,4160.612,35267347200,483493894661.0,4157.06,4221.693,4106.389,4160.612,35267347200
2015-07-21,4109.761,4201.482,4081.704,4166.0059999999985,31837494500,431695843789.0,4109.761,4201.482,4081.704,4166.0059999999985,31837494500
2015-07-22,4148.56,4187.431,4094.712,4157.16,31894599700,441832505196.0,4148.56,4187.431,4094.712,4157.16,31894599700
2015-07-23,4158.932,4262.062,4148.824000000001,4250.805,35447175900,483972220006.0,4158.932,4262.062,4148.824000000001,4250.805,35447175900
2015-07-24,4255.198,4299.65,4154.617,4176.279,39204537300,535901647230.0,4255.198,4299.65,4154.617,4176.279,39204537300
2015-07-27,4097.7959999999985,4156.313,3817.169,3818.731,36505451100,477952010794.0,4097.7959999999985,4156.313,3817.169,3818.731,36505451100
2015-07-28,3690.974,3883.446,3627.421,3811.093,38352721600,482654543336.0,3690.974,3883.446,3627.421,3811.093,38352721600
2015-07-29,3839.959,3934.003,3769.189,3930.379,27697284500,372287868068.0,3839.959,3934.003,3769.189,3930.379,27697284500
2015-07-30,3915.78,3968.534,3802.882,3815.412,27154866500,376351170573.0,3915.78,3968.534,3802.882,3815.412,27154866500
2015-07-31,3777.155,3863.624,3757.989,3816.699,22237676700,299312543754.0,3777.155,3863.624,3757.989,3816.699,22237676700
2015-08-03,3766.072,3829.235,3742.578,3829.235,24580503000,309631297700.0,3766.072,3829.235,3742.578,3829.235,24580503000
2015-08-04,3827.373,3948.449,3801.028,3948.155,22023655600,288756503266.0,3827.373,3948.449,3801.028,3948.155,22023655600
2015-08-05,3937.623,3962.277,3858.66,3866.9,20048426900,272693513971.0,3937.623,3962.277,3858.66,3866.9,20048426900
2015-08-06,3802.928,3888.693,3793.237,3831.852,14727869400,195532363765.0,3802.928,3888.693,3793.237,3831.852,14727869400
2015-08-07,3866.43,3926.649,3857.908,3906.945,18334915300,246546119056.0,3866.43,3926.649,3857.908,3906.945,18334915300
2015-08-10,3947.472,4101.731,3932.842,4084.365,30678054000,401702020648.0,3947.472,4101.731,3932.842,4084.365,30678054000
2015-08-11,4083.589,4110.133,4042.004,4066.669,32203419100,416996541243.0,4083.589,4110.133,4042.004,4066.669,32203419100
2015-08-12,4025.674,4078.03,4015.355,4016.126,25514619600,339799364935.0,4025.674,4078.03,4015.355,4016.126,25514619600
2015-08-13,4010.013,4075.7,3967.821,4075.463,24283697900,319887602964.0,4010.013,4075.7,3967.821,4075.463,24283697900
2015-08-14,4097.918,4113.1590000000015,4056.727,4073.54,25339299600,340076813259.0,4097.918,4113.1590000000015,4056.727,4073.54,25339299600
2015-08-17,4058.113,4081.772,4009.99,4077.872,25693963800,336830563044.0,4058.113,4081.772,4009.99,4077.872,25693963800
