unit,ticker,barTime,closePrice,dataDate,highPrice,lowPrice,openPrice,shortNM,totalValue,totalVolume,vwap,tradeDate
30,399300,10:30,3369.024,2017-05-12,3373.76,3359.799,3361.385,沪深300,17471387277.7,1675774100,3366.652,20170512
30,399300,11:00,3376.677,2017-05-12,3376.824,3361.417,3368.762,沪深300,9934186372.3,937070400,3368.1584,20170512
30,399300,11:30,3373.49,2017-05-12,3377.896,3371.707,3376.751,沪深300,8680214340.5,945090800,3374.2237,20170512
30,399300,13:30,3381.835,2017-05-12,3382.273,3373.96,3374.241,沪深300,8788958679.8,906579500,3376.9788,20170512
30,399300,14:00,3384.8,2017-05-12,3387.267,3379.159,3381.313,沪深300,11576110854.0,1164058900,3384.067,20170512
30,399300,14:30,3379.338,2017-05-12,3384.768,3378.917,3384.641,沪深300,9326035486.8,854837400,3381.0296,20170512
30,399300,15:00,3385.378,2017-05-12,3385.525,3373.024,3379.05,沪深300,14884841204.9,1348171400,3379.6474,20170512
30,399300,10:00,3403.031,2017-05-15,3406.581,3391.824,3391.588,沪深300,21781635799.5,2045384900,3402.2866,20170515
30,399300,10:30,3401.887,2017-05-15,3405.649,3398.111,3403.076,沪深300,13947627454.0,1213347500,3402.7053,20170515
30,399300,11:00,3401.247,2017-05-15,3404.589,3400.474,3402.092,沪深300,9924354310.3,897436700,3402.5376,20170515
30,399300,11:30,3401.531,2017-05-15,3405.664,3401.045,3401.045,沪深300,6957304725.7,597447300,3402.9074,20170515
30,399300,13:30,3397.356,2017-05-15,3401.837,3396.042,3401.68,沪深300,7009963259.6,613495200,3399.0133,20170515
30,399300,14:00,3400.23,2017-05-15,3405.114,3396.836,3397.501,沪深300,8911169529.4,792247300,3401.8952,20170515
30,399300,14:30,3399.957,2017-05-15,3401.485,3397.985,3400.209,沪深300,8712592736.4,782807300,3400.2454,20170515
30,399300,15:00,3399.193,2017-05-15,3400.648,3395.973,3399.697,沪深300,14334195188.2,1294070400,3398.6142,20170515
30,399300,10:00,3377.773,2017-05-16,3390.433,3373.552,3390.925,沪深300,21607964190.8,2000049800,3382.0483,20170516
30,399300,10:30,3379.612,2017-05-16,3381.626,3373.897,3377.91,沪深300,13997474875.7,1315405600,3378.2276,20170516
30,399300,11:00,3383.645,2017-05-16,3384.64,3374.704,3379.501,沪深300,10789282607.6,995994600,3379.4565,20170516
30,399300,11:30,3396.654,2017-05-16,3396.772,3382.199,3384.227,沪深300,11289780974.5,1104966700,3389.8125,20170516
30,399300,13:30,3401.784,2017-05-16,3403.058,3393.729,3396.685,沪深300,10646501080.8,1014712300,3397.6126,20170516
30,399300,14:00,3400.839,2017-05-16,3405.175,3399.734,3401.747,沪深300,10733587640.9,954013700,3402.3822,20170516
30,399300,14:30,3421.547,2017-05-16,3422.365,3400.857,3400.857,沪深300,15129681453.1,1378676300,3413.191,20170516
30,399300,15:00,3428.649,2017-05-16,3428.853,3419.105,3421.717,沪深300,18140739097.9,1716951700,3422.9762,20170516
30,399300,10:00,3426.121,2017-05-17,3428.418,3421.514,3423.19,沪深300,25522681926.2,2399510600,3425.6857,20170517
30,399300,10:30,3427.809,2017-05-17,3433.969,3425.002,3425.993,沪深300,20469720536.8,1814423500,3428.0646,20170517
30,399300,11:00,3423.03,2017-05-17,3428.239,3418.598,3428.188,沪深300,13526653478.6,1117801100,3421.6,20170517
30,399300,11:30,3417.521,2017-05-17,3425.763,3416.77,3423.666,沪深300,9200807425.4,810898400,3421.8932,20170517
30,399300,13:30,3415.665,2017-05-17,3419.194,3411.938,3417.467,沪深300,9597921315.3,865929300,3416.6782,20170517
30,399300,14:00,3416.24,2017-05-17,3419.161,3414.178,3415.688,沪深300,9232582079.1,883351700,3416.8636,20170517
30,399300,14:30,3412.921,2017-05-17,3416.63,3409.775,3416.63,沪深300,8952429480.5,806913400,3412.9166,20170517
30,399300,15:00,3409.965,2017-05-17,3416.553,3408.154,3413.062,沪深300,13273044017.6,1179406000,3411.692,20170517
30,399300,10:00,3403.787,2017-05-18,3408.24,3383.935,3387.665,沪深300,19372079621.0,1955132000,3401.4592,20170518
30,399300,10:30,3400.379,2017-05-18,3405.843,3400.098,3403.624,沪深300,11056299035.0,1114154100,3402.8462,20170518
30,399300,11:00,3406.69,2017-05-18,3407.147,3397.876,3400.621,沪深300,9730523305.4,909840000,3401.2574,20170518
30,399300,11:30,3404.128,2017-05-18,3409.931,3403.231,3407.145,沪深300,6742501830.5,623361800,3406.7224,20170518
30,399300,13:30,3394.803,2017-05-18,3404.963,3394.803,3404.097,沪深300,8520305486.9,822869600,3400.6518,20170518
30,399300,14:00,3399.611,2017-05-18,3399.643,3393.13,3395.241,沪深300,8696564431.3,829910800,3396.2226,20170518
30,399300,14:30,3389.144,2017-05-18,3399.782,3388.71,3399.294,沪深300,8960146725.7,865110300,3394.6391,20170518
30,399300,15:00,3398.112,2017-05-18,3399.511,3388.072,3388.769,沪深300,14187595618.3,1358321800,3394.9801,20170518
30,399300,10:00,3401.528,2017-05-19,3405.799,3395.733,3395.231,沪深300,16566859165.0,1568298300,3401.3685,20170519
30,399300,10:30,3405.502,2017-05-19,3405.944,3399.677,3401.825,沪深300,10335637092.0,933323800,3402.4434,20170519
30,399300,11:00,3401.549,2017-05-19,3405.547,3398.211,3405.454,沪深300,8001760266.4,735685200,3401.4498,20170519
30,399300,11:30,3399.468,2017-05-19,3405.158,3398.222,3401.662,沪深300,6955192350.2,640406100,3402.1743,20170519
30,399300,13:30,3399.386,2017-05-19,3400.631,3395.75,3399.386,沪深300,6935285932.7,609092700,3398.4727,20170519
30,399300,14:00,3397.481,2017-05-19,3400.418,3392.377,3399.214,沪深300,8199325163.5,732061900,3396.4622,20170519
30,399300,14:30,3402.582,2017-05-19,3405.405,3396.562,3397.941,沪深300,8536511268.7,765914700,3400.7516,20170519
30,399300,15:00,3403.849,2017-05-19,3403.849,3397.906,3402.166,沪深300,12231755362.6,1100576100,3400.6524,20170519
30,399300,10:00,3412.031,2017-05-22,3415.374,3393.366,3400.588,沪深300,18734325490.5,1749194000,3405.4631,20170522
30,399300,10:30,3420.513,2017-05-22,3424.177,3411.956,3412.399,沪深300,14252535006.0,1286822700,3419.033,20170522
30,399300,11:00,3414.499,2017-05-22,3420.829,3412.466,3420.829,沪深300,9735836206.7,942781500,3415.6576,20170522
30,399300,11:30,3406.077,2017-05-22,3414.49,3402.614,3414.228,沪深300,8332079118.9,759856900,3407.0736,20170522
30,399300,13:30,3403.036,2017-05-22,3409.43,3400.834,3406.227,沪深300,7589204525.4,678681600,3405.9325,20170522
30,399300,14:00,3395.207,2017-05-22,3404.069,3391.685,3403.054,沪深300,9595113685.4,933111000,3398.6788,20170522
30,399300,14:30,3391.642,2017-05-22,3403.88,3391.642,3394.891,沪深300,10050248079.6,924675100,3398.4568,20170522
30,399300,15:00,3411.238,2017-05-22,3411.818,3391.174,3391.987,沪深300,20276404765.5,1924176700,3399.561,20170522
30,399300,10:00,3410.543,2017-05-23,3412.585,3401.533,3405.025,沪深300,19479160220.5,1755359100,3407.7317,20170523
30,399300,10:30,3418.998,2017-05-23,3424.578,3409.654,3410.723,沪深300,15680905909.3,1354947000,3417.9465,20170523
30,399300,11:00,3429.561,2017-05-23,3429.561,3412.103,3419.31,沪深300,13543910090.6,1150493100,3419.3956,20170523
30,399300,11:30,3423.256,2017-05-23,3434.766,3422.929,3429.487,沪深300,11670989875.4,1044038700,3429.3594,20170523
30,399300,13:30,3404.898,2017-05-23,3423.878,3404.0,3423.878,沪深300,14573306024.7,1401247300,3413.9577,20170523
30,399300,14:00,3416.62,2017-05-23,3418.199,3404.631,3404.631,沪深300,10328211094.5,993714400,3414.2706,20170523
30,399300,14:30,3420.325,2017-05-23,3420.325,3410.793,3416.361,沪深300,11655018577.7,1112590000,3415.5387,20170523
30,399300,15:00,3424.194,2017-05-23,3424.194,3417.459,3420.369,沪深300,29476426695.8,2836806700,3421.4801,20170523
30,399300,10:00,3397.864,2017-05-24,3414.677,3383.892,3409.716,沪深300,25353643189.3,2332333300,3398.472,20170524
30,399300,10:30,3397.83,2017-05-24,3397.83,3389.676,3397.0,沪深300,12700018587.7,1102846600,3394.4795,20170524
30,399300,11:00,3398.516,2017-05-24,3404.891,3397.905,3398.123,沪深300,8557307408.2,757765900,3400.9809,20170524
30,399300,11:30,3412.761,2017-05-24,3412.911,3398.101,3398.666,沪深300,6583626095.5,541968600,3407.7163,20170524
30,399300,13:30,3403.692,2017-05-24,3412.562,3401.448,3412.374,沪深300,6749139389.9,580790100,3405.528,20170524
30,399300,14:00,3406.423,2017-05-24,3406.423,3399.386,3404.135,沪深300,7581412046.8,685649200,3402.8232,20170524
